"node","category","M","N","kingdom","phylum","class","order","family","genus","species","resolved.to"
"Nostoc sp.","producer",7.97e-13,2e+06,"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Nostoc","","Species"
"Arthrodesmus sp.","producer",1.52e-12,4.9e+07,"Plantae","Charophyta","Zygnematophyceae","Desmidiales","Desmidiaceae","Arthrodesmus","","Species"
"Asterionella formosa","producer",1.12e-12,5e+06,"Chromista","Ochrophyta","Bacillariophyceae","Fragilariales","Fragilariaceae","Asterionella","formosa","Species"
"Cryptomonas sp. 1","producer",2.03e-13,6.4e+07,"Chromista","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadaceae","Cryptomonas","","Species"
"Cryptomonas sp. 2","producer",1.51e-12,2.8e+07,"Chromista","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadaceae","Cryptomonas","","Species"
"Chroococcus dispersus","producer",2.39e-13,2e+07,"Bacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Chroococcaceae","Chroococcus","dispersus","Species"
"Closteriopsis longissimus","producer",2.37e-13,1e+08,"Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Closteriopsis","longissimus","Species"
"Chrysosphaerella longispina","producer",8.31e-10,4e+06,"Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Paraphysomonadaceae","Chrysosphaerella","longispina","Species"
"Dinobryon bavaricum","producer",2.44e-12,3e+07,"Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Dinobryaceae","Dinobryon","bavaricum","Species"
"Dinobryon cylindricum","producer",1.57e-12,3e+06,"Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Dinobryaceae","Dinobryon","cylindricum","Species"
"Dactylococcopsis fascicularis","producer",1.32e-13,4.6e+07,"Bacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Chroococcaceae","Dactylococcopsis","fascicularis","Species"
"Diceras sp.","producer",1.53e-13,1.4e+07,"Chromista","Ochrophyta","Chrysophyceae","Hibberdiales","Stylococcaceae","Diceras","","Species"
"Dictyosphaerium pulchellum","producer",5.07e-13,1.3e+07,"Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Dictyosphaerium","pulchellum","Species"
"Dinobryon sertularia","producer",1.52e-11,2e+06,"Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Dinobryaceae","Dinobryon","sertularia","Species"
