"resource","consumer"
"Cryptomonas sp. 1","Ascomorpha eucadis"
"Chroococcus dispersus","Ascomorpha eucadis"
"Unclassified flagellates","Ascomorpha eucadis"
"Chromulina sp.","Ascomorpha eucadis"
"Selenastrum minutum","Ascomorpha eucadis"
"Trachelomonas sp.","Ascomorpha eucadis"
"Cryptomonas sp. 1","Synchaeta sp."
"Chroococcus dispersus","Synchaeta sp."
"Unclassified flagellates","Synchaeta sp."
"Chromulina sp.","Synchaeta sp."
"Selenastrum minutum","Synchaeta sp."
"Trachelomonas sp.","Synchaeta sp."
"Cryptomonas sp. 1","Bosmina longirostris"
"Cryptomonas sp. 2","Bosmina longirostris"
"Chroococcus dispersus","Bosmina longirostris"
"Dictyosphaerium pulchellum","Bosmina longirostris"
"Dinobryon sociale","Bosmina longirostris"
"Glenodinium quadridens","Bosmina longirostris"
"Unclassified flagellates","Bosmina longirostris"
"Peridinium pulsillum","Bosmina longirostris"
"Chromulina sp.","Bosmina longirostris"
"Selenastrum minutum","Bosmina longirostris"
"Trachelomonas sp.","Bosmina longirostris"
"Cryptomonas sp. 1","Conochilus (solitary)"
"Chroococcus dispersus","Conochilus (solitary)"
"Closteriopsis longissimus","Conochilus (solitary)"
"Unclassified flagellates","Conochilus (solitary)"
"Chromulina sp.","Conochilus (solitary)"
"Selenastrum minutum","Conochilus (solitary)"
"Trachelomonas sp.","Conochilus (solitary)"
"Ascomorpha eucadis","Cyclops varians rubellus"
"Synchaeta sp.","Cyclops varians rubellus"
"Conochilus (solitary)","Cyclops varians rubellus"
"Cyclops varians rubellus","Cyclops varians rubellus"
"Filinia longispina","Cyclops varians rubellus"
"Conochiloides dossuarius","Cyclops varians rubellus"
"Gastropus stylifer","Cyclops varians rubellus"
"Kellicottia sp.","Cyclops varians rubellus"
"Keratella cochlearis","Cyclops varians rubellus"
"Keratella testudo","Cyclops varians rubellus"
"Leptodiaptomus siciloides","Cyclops varians rubellus"
"Ploesoma sp.","Cyclops varians rubellus"
"Polyarthra vulgaris","Cyclops varians rubellus"
"Trichocerca multicrinis","Cyclops varians rubellus"
"Trichocerca cylindrica","Cyclops varians rubellus"
"Tropocyclops prasinus","Cyclops varians rubellus"
"Nostoc sp.","Diaphanosoma leuchtenbergianum"
"Cryptomonas sp. 1","Diaphanosoma leuchtenbergianum"
"Cryptomonas sp. 2","Diaphanosoma leuchtenbergianum"
"Chroococcus dispersus","Diaphanosoma leuchtenbergianum"
"Dinobryon cylindricum","Diaphanosoma leuchtenbergianum"
"Dactylococcopsis fascicularis","Diaphanosoma leuchtenbergianum"
"Dictyosphaerium pulchellum","Diaphanosoma leuchtenbergianum"
"Dinobryon sociale","Diaphanosoma leuchtenbergianum"
"Glenodinium quadridens","Diaphanosoma leuchtenbergianum"
"Unclassified flagellates","Diaphanosoma leuchtenbergianum"
"Peridinium pulsillum","Diaphanosoma leuchtenbergianum"
"Chromulina sp.","Diaphanosoma leuchtenbergianum"
"Selenastrum minutum","Diaphanosoma leuchtenbergianum"
"Trachelomonas sp.","Diaphanosoma leuchtenbergianum"
"Nostoc sp.","Daphnia pulex"
"Arthrodesmus sp.","Daphnia pulex"
"Cryptomonas sp. 1","Daphnia pulex"
"Cryptomonas sp. 2","Daphnia pulex"
"Chroococcus dispersus","Daphnia pulex"
"Closteriopsis longissimus","Daphnia pulex"
"Dinobryon bavaricum","Daphnia pulex"
"Dinobryon cylindricum","Daphnia pulex"
"Dactylococcopsis fascicularis","Daphnia pulex"
"Dictyosphaerium pulchellum","Daphnia pulex"
"Dinobryon sertularia","Daphnia pulex"
"Dinobryon sociale","Daphnia pulex"
"Glenodinium quadridens","Daphnia pulex"
"Microcystis aeruginosa","Daphnia pulex"
"Mallomonas sp. 1","Daphnia pulex"
"Mallomonas sp. 2","Daphnia pulex"
"Unclassified flagellates","Daphnia pulex"
"Peridinium limbatum","Daphnia pulex"
"Peridinium cinctum","Daphnia pulex"
"Peridinium pulsillum","Daphnia pulex"
"Peridinium wisconsinense","Daphnia pulex"
"Chromulina sp.","Daphnia pulex"
